,assortativity,ami,ami_resolution,ari,ari_resolution,sparsity,num_genes_kept,num_cells,num_em_iterations,num_categories,dataset_name,truth_class_name,source_url,paper_url,reported_cell_count,reported_truth_class
GmGM+nonpara,0.014418346878836847,0.21273809870375693,1.4000000000000001,0.20119599389062906,0.64,0.6212275293693923,612,617,18,8,E-GEOD-83139,Sample Characteristic[inferred cell type - ontology labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-83139/results/cell-plots,https://europepmc.org/article/MED/27364731,619,inferred cell type - ontology labels
Basic,0.014418346878836847,0.3746373916319714,0.28,0.27063006507364407,0.52,0.6212275293693923,612,617,18,8,E-GEOD-83139,Sample Characteristic[inferred cell type - ontology labels],https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-83139/results/cell-plots,https://europepmc.org/article/MED/27364731,619,inferred cell type - ontology labels
EM,-0.18975542157801747,0.31052573661485855,0.4,0.27221788516799283,0.8400000000000001,0.40749980411336656,627,631,12,2,E-CURD-7,Sample Characteristic[sampling site],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-7/results/cell-plots,https://europepmc.org/article/MED/29795293,631,sampling site
GmGM,0.3721376827254608,0.4124611460340929,0.64,0.3868512980810411,0.64,0.40749980411336656,627,631,12,2,E-CURD-7,Sample Characteristic[sampling site],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-7/results/cell-plots,https://europepmc.org/article/MED/29795293,631,sampling site
GmGM+nonpara,0.3421523166576583,0.40336516779557674,0.54,0.37824138048820555,0.54,0.40749980411336656,627,631,12,2,E-CURD-7,Sample Characteristic[sampling site],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-7/results/cell-plots,https://europepmc.org/article/MED/29795293,631,sampling site
Basic,0.008558255166549128,0.0625266199981756,0.02,0.043019256840102944,0.36000000000000004,0.40749980411336656,627,631,12,2,E-CURD-7,Sample Characteristic[sampling site],https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-7/results/cell-plots,https://europepmc.org/article/MED/29795293,631,sampling site
EM,-0.189688976406303,0.31052573661485855,0.4,0.27221788516799283,0.8400000000000001,0.4075048592522944,627,631,12,2,E-ENAD-21,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-21/results/cell-plots,https://europepmc.org/article/MED/29795293,631,cell type
GmGM,0.2569600946803433,0.4190035059915663,1.08,0.3783049234869767,0.98,0.4075048592522944,627,631,12,2,E-ENAD-21,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-21/results/cell-plots,https://europepmc.org/article/MED/29795293,631,cell type
GmGM+nonpara,0.34463691637050686,0.3853718183386051,0.8200000000000001,0.3744159379032622,0.8200000000000001,0.4075048592522944,627,631,12,2,E-ENAD-21,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-21/results/cell-plots,https://europepmc.org/article/MED/29795293,631,cell type
Basic,0.014834028369853883,0.06651302669059427,0.02,0.028463412890568814,0.32,0.4075048592522944,627,631,12,2,E-ENAD-21,Sample Characteristic[cell type],https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-21/results/cell-plots,https://europepmc.org/article/MED/29795293,631,cell type
